,unique_identifier,PaperId,Doi
174,10.1161/HYPERTENSIONAHA.107.097667,2111371354,10.1161/HYPERTENSIONAHA.107.097667
175,10.1177/0300060513502891,2145736517,10.1177/0300060513502891
176,10.1177/0300060517723799,2746898735,10.1177/0300060517723799
177,10.1177/1470320316656480,2527877826,10.1177/1470320316656480
178,10.1177/147470491201000204,1948028357,10.1177/147470491201000204
179,10.1177/147470491301100407,2169933744,10.1177/147470491301100407
180,10.1177/1474704916631614,2282532894,10.1177/1474704916631614
181,10.1177/1558689817731170,2759164513,10.1177/1558689817731170
182,10.1177/2158244013478951,1874559135,10.1177/2158244013478951
183,10.1177/2158244013511827,2131692526,10.1177/2158244013511827
184,10.1186/1475-2891-10-126,2167269433,10.1186/1475-2891-10-126
185,10.1186/1478-7954-7-16,2014064274,10.1186/1478-7954-7-16
186,10.1186/2193-9020-3-9,2135637386,10.1186/2193-9020-3-9
187,10.1371/journal.pone.0092816,1996672820,10.1371/journal.pone.0092816
188,10.1371/journal.pone.0118589,2080322229,10.1371/journal.pone.0118589
189,bbk-99,,
190,10.1073/pnas.1306417111,2004660111,10.1073/pnas.1306417111
191,10.1093/gerona/53A.3.M188,2147140928,10.1093/gerona/53A.3.M188
192,10.1093/geronb/61.4.S203,2102079350,10.1093/geronb/61.4.S203
193,10.1093/geront/36.3.373,2130752788,10.1093/geront/36.3.373
194,10.1136/bmj.324.7328.20,2004876644,10.1136/bmj.324.7328.20
195,10.1161/HYPERTENSIONAHA.110.162255,2111662153,10.1161/HYPERTENSIONAHA.110.162255
196,10.1177/0300060515593258,2525806198,10.1177/0300060515593258
197,10.1177/0300060517706800,2626617111,10.1177/0300060517706800
198,10.1177/1461444815604143,2311078334,10.1177/1461444815604143
199,10.1177/147470491100900403,2205530690,10.1177/147470491100900403
200,10.1177/147470491401200113,2247269544,10.1177/147470491401200113
201,10.1177/2041669516671566,2524454444,10.1177/2041669516671566
202,10.1177/2055102916637877,2314926659,10.1177/2055102916637877
203,10.1177/2158244011410715,1523033663,10.1177/2158244011410715
204,10.1177/2158244015617989,2415594380,10.1177/2158244015617989
205,10.1177/2158244016629393,2291988508,10.1177/2158244016629393
206,10.1186/2194-7899-2-1,2159890656,10.1186/2194-7899-2-1
207,10.1371/journal.pone.0007558,2032298501,10.1371/journal.pone.0007558
208,10.1371/journal.pone.0195036,2794929704,10.1371/journal.pone.0195036
209,10.1515/pophzn-2015-0011,2310476556,10.1515/pophzn-2015-0011
210,10.1542/peds.2011-1082,2133188156,10.1542/peds.2011-1082
211,10.1002/oby.20370,1833113419,10.1002/oby.20370
212,10.1042/AN20120009,2134976597,10.1042/AN20120009
213,10.1086/514634,2156674582,10.1086/514634
214,10.1086/655394,1977179106,10.1086/655394
215,10.1093/ageing/30.6.495,2050489563,10.1093/ageing/30.6.495
216,10.1093/geronb/gbp073,2103749399,10.1093/geronb/gbp073
217,10.1093/jat/23.6.436,2153946970,10.1093/jat/23.6.436
218,10.1093/jnci/91.16.1365,,
219,10.1177/0300060516633564,2317297913,10.1177/0300060516633564
220,10.1177/2158244011428160,2181006979,10.1177/2158244011428160
221,10.1177/2158244013512664,2127158977,10.1177/2158244013512664
222,10.1177/2158244015622798,2253111325,10.1177/2158244015622798
223,10.1177/2158244016658083,2470689026,10.1177/2158244016658083
224,10.1177/2158244017706711,2613523244,10.1177/2158244017706711
225,10.1177/2158244017709861,2620735164,10.1177/2158244017709861
226,10.1177/2158244017711486,2615051568,10.1177/2158244017711486
227,10.1177/2158244017723050,2743971063,10.1177/2158244017723050
228,10.3945/ajcn.111.015560,2144175094,10.3945/ajcn.111.015560
229,bbk-67,,
230,10.1016/j.ejcts.2006.01.016,2164826628,10.1016/j.ejcts.2006.01.016
231,10.1080/15401420390271056,2099676068,10.1080/15401420390271056
232,10.1093/geront/40.3.349,2140591180,10.1093/geront/40.3.349
233,10.1097/OLQ.0b013e3182478fa5,2053467755,10.1097/OLQ.0b013e3182478fa5
234,10.1098/rspb.2007.1673,2101598205,10.1098/rspb.2007.1673
235,10.1177/0300060514562489,2159680877,10.1177/0300060514562489
236,10.1177/0300060516676726,2572830174,10.1177/0300060516676726
237,10.1177/1465116516680763,2586732213,10.1177/1465116516680763
238,10.1177/1474704917690401,2581979856,10.1177/1474704917690401
239,10.1177/1756283X17698089,2603403998,10.1177/1756283X17698089
240,10.1177/2053168015589217,2259761339,10.1177/2053168015589217
241,10.1177/2158244012464974,2112792324,10.1177/2158244012464974
242,10.1177/2158244013495052,1592149178,10.1177/2158244013495052
243,10.1177/2158244013495052,2155652173,10.1177/2158244013495052
244,10.1177/2158244013495052,2173004741,10.1177/2158244013495052
245,10.1177/2158244013495052,2788382767,10.1177/2158244013495052
246,10.1177/2158244014548847,2128344508,10.1177/2158244014548847
247,10.1177/2158244016655586,2461783370,10.1177/2158244016655586
248,10.1186/s12877-016-0317-z,2502501431,10.1186/s12877-016-0317-z
249,10.1249/MSS.0b013e3181a06c9b,2027965761,10.1249/MSS.0b013e3181a06c9b
250,10.1289/ehp.9019,2015165237,10.1289/ehp.9019
251,10.1377/hlthaff.11.2.28,1988475166,10.1377/hlthaff.11.2.28
252,10.1377/hlthaff.14.1.234,2092760547,10.1377/hlthaff.14.1.234
253,10.1001/jama.282.10.954,1979054663,10.1001/jama.282.10.954
254,10.1001/jama.285.16.2094,1983800911,10.1001/jama.285.16.2094
255,10.1017/S1368980012000316,2324288017,10.1017/S1368980012000316
256,10.1038/sj.ijo.0800498,2069750703,10.1038/sj.ijo.0800498
257,10.1042/AN20130048,2118346941,10.1042/AN20130048
258,10.1097/00001648-199507000-00023,2075230461,10.1097/00001648-199507000-00023
259,10.1177/0300060514543034,2155937309,10.1177/0300060514543034
260,10.1177/0300060516665708,2553627824,10.1177/0300060516665708
261,10.1177/147470490700500403,2219719809,10.1177/147470490700500403
262,10.1177/2053951715609066,2230708423,10.1177/2053951715609066
263,10.1177/2158244013518925,2106794166,10.1177/2158244013518925
264,10.1177/2158244014548178,2140992244,10.1177/2158244014548178
265,10.1177/2158244015615922,2210580717,10.1177/2158244015615922
266,10.1177/2158244017736799,2765311804,10.1177/2158244017736799
267,10.2337/diabetes.52.5.1210,2151152924,10.2337/diabetes.52.5.1210
268,bbk-196,,
269,bbk-85,,
270,10.1001/archpedi.158.8.760,2161081498,10.1001/archpedi.158.8.760
271,10.1068/i0645,2162430938,10.1068/i0645
272,10.1093/aje/kwg129,2063174344,10.1093/aje/kwg129
273,10.1093/geronb/53B.1.S46,2103158077,10.1093/geronb/53B.1.S46
274,10.1161/HYPERTENSIONAHA.109.129841,1988064984,10.1161/HYPERTENSIONAHA.109.129841
275,10.1177/0300060513509473,2129092713,10.1177/0300060513509473
276,10.1177/0300060516652762,2592332284,10.1177/0300060516652762
277,10.1177/0300060516684251,2582716670,10.1177/0300060516684251
278,10.1177/0300060517708942,2651242387,10.1177/0300060517708942
279,10.1177/1474704916668874,2537964971,10.1177/1474704916668874
280,10.1177/2053168014540605,2155004808,10.1177/2053168014540605
281,10.1177/2158244013492082,2134762217,10.1177/2158244013492082
282,10.1177/2158244013502495,2162339238,10.1177/2158244013502495
283,10.1177/2158244013515684,2115292319,10.1177/2158244013515684
284,10.1177/2158244013518052,2130735567,10.1177/2158244013518052
285,10.1177/2158244013520609,2183794394,10.1177/2158244013520609
286,10.1177/2158244014525418,2168612693,10.1177/2158244014525418
287,10.1177/2158244014535939,2130701428,10.1177/2158244014535939
288,10.1186/1479-5868-7-70,2145499799,10.1186/1479-5868-7-70
289,10.4054/DemRes.2014.31.40,2109332233,10.4054/DemRes.2014.31.40
290,10.4236/health.2013.56A3004,2027413196,10.4236/health.2013.56A3004
291,bbk-360,,
292,10.1001/archpedi.157.1.54,2139217745,10.1001/archpedi.157.1.54
293,10.1002/art.1780160310,2075584151,10.1002/art.1780160310
294,10.1093/gerona/61.10.1070,2120630087,10.1093/gerona/61.10.1070
295,10.1093/schbul/sbj048,2169160800,10.1093/schbul/sbj048
296,10.1097/AOG.0b013e3181be3db4,2024364747,10.1097/AOG.0b013e3181be3db4
297,10.1111/j.1526-4637.2008.00425.x,2069426265,10.1111/j.1526-4637.2008.00425.x
298,10.1136/ip.2004.005835,1999649168,10.1136/ip.2004.005835
299,10.1161/JAHA.117.007138,2777162952,10.1161/JAHA.117.007138
300,10.1177/1470320314530178,2132610899,10.1177/1470320314530178
301,10.1177/147470490700500307,2341603062,10.1177/147470490700500307
302,10.1177/147470490800600121,2195145336,10.1177/147470490800600121
303,10.1177/1745691616673192,2618394217,10.1177/1745691616673192
304,10.1177/1759091416642351,2336637000,10.1177/1759091416642351
305,10.1177/2041669516658665,2506787810,10.1177/2041669516658665
306,10.1177/2053168014537808,2115197178,10.1177/2053168014537808
307,10.1177/2053951715612823,1920826934,10.1177/2053951715612823
308,10.1177/2158244011410324,2119668621,10.1177/2158244011410324
309,10.1177/2158244013484156,2150283510,10.1177/2158244013484156
310,10.1177/2158244013516154,2113461856,10.1177/2158244013516154
311,10.1177/2158244015581018,2146526766,10.1177/2158244015581018
312,10.1177/2158244015591823,2164329542,10.1177/2158244015591823
313,10.1177/2158244016640851,2332058084,10.1177/2158244016640851
314,10.1177/2158244016643748,2343576062,10.1177/2158244016643748
315,10.1177/2158244016656231,2471007662,10.1177/2158244016656231
316,10.1177/2158244016674512,2554416118,10.1177/2158244016674512
317,10.1177/2158244016675198,2571308666,10.1177/2158244016675198
318,10.1186/1477-7525-2-33,2108662783,10.1186/1477-7525-2-33
319,10.1210/jc.2004-1006,2089859192,10.1210/jc.2004-1006
320,10.1590/S0037-86822005000300008,2019473273,10.1590/S0037-86822005000300008
321,10.2337/diacare.23.9.1272,2135881062,10.2337/diacare.23.9.1272
322,bbk-194,,
323,10.1001/jama.285.17.2216,2149456232,10.1001/jama.285.17.2216
324,10.1001/jama.295.17.2037,2147083737,10.1001/jama.295.17.2037
325,10.1093/gerona/glu063,2161670208,10.1093/gerona/glu063
326,10.1093/geronb/53B.6.S303,2130033077,10.1093/geronb/53B.6.S303
327,10.1093/geronb/57.6.P559,2171464650,10.1093/geronb/57.6.P559
328,10.1093/geronb/60.4.S205,2146403321,10.1093/geronb/60.4.S205
329,10.1093/geronb/gbq049,2139201242,10.1093/geronb/gbq049
330,10.1177/0300060515587576,2177804931,10.1177/0300060515587576
331,10.1177/0300060516653066,2474326529,10.1177/0300060516653066
332,10.1177/0300060517714934,2737873867,10.1177/0300060517714934
333,10.1177/1474704918761103,2790368840,10.1177/1474704918761103
334,10.1177/2041669516686986,2569019169,10.1177/2041669516686986
335,10.1177/2158244013502493,2180818057,10.1177/2158244013502493
336,10.1177/2158244014521432,2130829334,10.1177/2158244014521432
337,10.1177/2158244015572486,2143869504,10.1177/2158244015572486
338,10.1177/2158244016635255,2293151839,10.1177/2158244016635255
339,10.1177/2158244016674511,2551805306,10.1177/2158244016674511
340,10.1186/1471-2458-12-425,2041856248,10.1186/1471-2458-12-425
341,10.1370/afm.1461,2097004059,10.1370/afm.1461
342,10.1371/journal.pgen.1001053,2108344795,10.1371/journal.pgen.1001053
343,10.5334/jeps.cn,2143711313,10.5334/jeps.cn
344,10.1001/jama.280.2.135,2029781096,10.1001/jama.280.2.135
345,10.1001/jamapsychiatry.2014.5,1991597726,10.1001/jamapsychiatry.2014.5
346,10.1068/i0662sas,1974457453,10.1068/i0662sas
347,10.1086/317655,2116702696,10.1086/317655
348,10.1093/gerona/60.3.334,2122350385,10.1093/gerona/60.3.334
349,10.1093/jac/dkr541,2134262748,10.1093/jac/dkr541
350,10.1097/00001648-199203000-00018,2071989125,10.1097/00001648-199203000-00018
351,10.1097/OLQ.0000000000000230,1990692521,10.1097/OLQ.0000000000000230
352,10.1111/j.1467-9566.2007.01043.x,2101984154,10.1111/j.1467-9566.2007.01043.x
353,10.1111/j.1526-4637.2011.01075.x,1575576947,10.1111/j.1526-4637.2011.01075.x
354,10.1111/j.1708-8305.2009.00339.x,2023315466,10.1111/j.1708-8305.2009.00339.x
355,10.1177/0046958015584798,2221265779,10.1177/0046958015584798
356,10.1177/0300060513507392,2075739019,10.1177/0300060513507392
357,10.1177/0300060514526567,2331034246,10.1177/0300060514526567
358,10.1177/0300060515576556,2287830537,10.1177/0300060515576556
359,10.1177/0300060515594195,2173342628,10.1177/0300060515594195
360,10.1177/0300060516639169,2342151635,10.1177/0300060516639169
361,10.1177/0300060516655244,2579225700,10.1177/0300060516655244
362,10.1177/0300060517707674,2627589249,10.1177/0300060517707674
363,10.1177/1471301216636302,2295446267,10.1177/1471301216636302
364,10.1177/1740774518780678,2808153284,10.1177/1740774518780678
365,10.1177/1753465816662159,2491738938,10.1177/1753465816662159
366,10.1177/2053168017702990,2605004811,10.1177/2053168017702990
367,10.1177/2055102917730676,2751777053,10.1177/2055102917730676
368,10.1177/2158244015611938,2261717666,10.1177/2158244015611938
369,10.1177/2158244016629183,2289376897,10.1177/2158244016629183
370,10.1177/2158244016653791,2468688964,10.1177/2158244016653791
371,10.1186/1747-597X-9-43,2154243862,10.1186/1747-597X-9-43
372,10.1249/MSS.0b013e318169032d,2054477333,10.1249/MSS.0b013e318169032d
373,10.1371/journal.pone.0173790,2617074981,10.1371/journal.pone.0173790
374,10.1377/hlthaff.28.4.w578,2148470578,10.1377/hlthaff.28.4.w578
375,10.1038/jes.2008.32,2144593881,10.1038/jes.2008.32
376,10.1093/geront/gnv061,2245883821,10.1093/geront/gnv061
377,10.1111/1467-856X.12068,1950661998,10.1111/1467-856X.12068
378,10.1177/0001839214538262,2162990730,10.1177/0001839214538262
379,10.1177/0300060513516287,2152038040,10.1177/0300060513516287
380,10.1177/1470320313481082,2097457569,10.1177/1470320313481082
381,10.1177/147470490500300118,2102105715,10.1177/147470490500300118
382,10.1177/147470491401200304,2181521631,10.1177/147470491401200304
383,10.1177/1756284818783600,2808945772,10.1177/1756284818783600
384,10.1177/1759091415601636,2262608276,10.1177/1759091415601636
385,10.1177/2041669515613661,2236351077,10.1177/2041669515613661
386,10.1177/2158244013499161,2159043053,10.1177/2158244013499161
387,10.1177/2158244015569737,2053098273,10.1177/2158244015569737
388,10.1177/2158244016659118,2461530039,10.1177/2158244016659118
389,10.1186/1471-2458-10-224,2137201452,10.1186/1471-2458-10-224
390,10.1186/1479-5868-8-20,2162291851,10.1186/1479-5868-8-20
391,10.1186/1747-597X-9-35,2130823286,10.1186/1747-597X-9-35
392,10.1371/journal.pone.0020331,2092810751,10.1371/journal.pone.0020331
393,10.1377/hlthaff.18.5.131,2124532540,10.1377/hlthaff.18.5.131
394,10.1377/hlthaff.21.3.137,2073497319,10.1377/hlthaff.21.3.137
395,10.1681/ASN.2006121411,2155144847,10.1681/ASN.2006121411
396,10.3945/ajcn.2008.26287,2116432465,10.3945/ajcn.2008.26287
397,10.4021/jocmr425w,2081258904,10.4021/jocmr425w
398,10.4054/DemRes.2009.21.7,2148736861,10.4054/DemRes.2009.21.7
399,10.4054/DemRes.2016.34.12,2278165569,10.4054/DemRes.2016.34.12
400,10.1001/jama.280.5.428,2039360809,10.1001/jama.280.5.428
401,10.1007/s40865-015-0005-2,1992081015,10.1007/s40865-015-0005-2
402,10.1017/S1368980007246749,2147468937,10.1017/S1368980007246749
403,10.1038/jes.2009.72,2006119079,10.1038/jes.2009.72
404,10.1068/i0422,2107270596,10.1068/i0422
405,10.1093/aje/kwh151,2162194260,10.1093/aje/kwh151
406,10.1093/gerona/61.4.380,2044256269,10.1093/gerona/61.4.380
407,10.1093/geronb/60.6.P338,2147444604,10.1093/geronb/60.6.P338
408,10.1093/geront/43.5.669,1993007416,10.1093/geront/43.5.669
409,10.1093/ndt/gfq808,2159881390,10.1093/ndt/gfq808
410,10.1097/AOG.0b013e31826af3d1,2084792262,10.1097/AOG.0b013e31826af3d1
411,10.1146/annurev.publhealth.25.101802.122951,2152753574,10.1146/annurev.publhealth.25.101802.122951
412,10.1146/annurev.publhealth.26.021304.144652,2107476679,10.1146/annurev.publhealth.26.021304.144652
413,10.1161/01.CIR.0000114519.75433.DD,2167994024,10.1161/01.CIR.0000114519.75433.DD
414,10.1177/0046958017690289,2585420158,10.1177/0046958017690289
415,10.1177/1556264615593485,2127725398,10.1177/1556264615593485
