unique_identifier,PaperId,Doi
10.1177/0269216311416696,2046767980,10.1177/0269216311416696
10.1177/0300060515593248,2526744961,10.1177/0300060515593248
10.1177/0306624X09350212,2097689253,10.1177/0306624X09350212
10.1177/0340035212473428,1990223403,10.1177/0340035212473428
10.1177/056943451506000207,2520219880,10.1177/056943451506000207
10.1177/0730888401028004004,2014070357,10.1177/0730888401028004004
10.1177/0734016810377351,1998824879,10.1177/0734016810377351
10.1177/0886109903262772,1969813872,10.1177/0886109903262772
10.1177/0886260516635320,2307221610,10.1177/0886260516635320
10.1177/0890334413517941,2067294126,10.1177/0890334413517941
10.1177/0895904814552896,2479496979,10.1177/0895904814552896
10.1177/0956247813477811,2005131694,10.1177/0956247813477811
10.1177/0961000616656044,2474675420,10.1177/0961000616656044
10.1177/097340821000400211,2044766544,10.1177/097340821000400211
10.1177/1032373217710501,2622835522,10.1177/1032373217710501
10.1177/1053451208330896,2045004872,10.1177/1053451208330896
10.1177/1350506817702410,2604617366,10.1177/1350506817702410
10.1177/1355819616679198,2554351766,10.1177/1355819616679198
10.1177/1362361312460952,2143924337,10.1177/1362361312460952
10.1177/1465116503004002001,2063401904,10.1177/1465116503004002001
10.1177/147470491100900110,1799001546,10.1177/147470491100900110
10.1177/147470491201000406,2098757692,10.1177/147470491201000406
10.1177/1474885116647850,2406981062,10.1177/1474885116647850
10.1177/1524839917699594,2607260876,10.1177/1524839917699594
10.1177/153537020422900907,2339431507,10.1177/153537020422900907
10.1177/1741659016685377,2576325272,10.1177/1741659016685377
10.1177/1744629516657946,2470465343,10.1177/1744629516657946
10.1177/1756283X16656690,2465279998,10.1177/1756283X16656690
10.1177/1944451612438918,2026576459,10.1177/1944451612438918
10.1177/2057158517716049,2737617170,10.1177/2057158517716049
10.1177/2158244011420451,2160041311,10.1177/2158244011420451
10.1177/2158244013485582,2146136119,10.1177/2158244013485582
10.1177/2158244015592165,2176353062,10.1177/2158244015592165
10.1177/2158244016685372,2579623591,10.1177/2158244016685372
10.1177/2158244017720483,2742353909,10.1177/2158244017720483
10.1350/ijps.2008.10.1.36,2032612778,10.1350/ijps.2008.10.1.36
10.2190/DE.40.2.a,1966710538,10.2190/DE.40.2.a
bbk-284,"",""
10.1068/i0443aap,2070867046,10.1068/i0443aap
10.1080/713703875,2046074583,10.1080/713703875
10.1177/0002716209343547,2166532581,10.1177/0002716209343547
10.1177/0020764011419056,2112868072,10.1177/0020764011419056
10.1177/0020852312467613,1978935431,10.1177/0020852312467613
10.1177/0022034511429349,2160183145,10.1177/0022034511429349
10.1177/002204260103100406,2010020695,10.1177/002204260103100406
10.1177/0022146518785174,2811426466,10.1177/0022146518785174
10.1177/0022487108328485,1992141640,10.1177/0022487108328485
10.1177/0042085913496796,2163564568,10.1177/0042085913496796
10.1177/004912418000900205,1967660709,10.1177/004912418000900205
10.1177/0093854812459639,2092883258,10.1177/0093854812459639
10.1177/0261018305051325,2154055008,10.1177/0261018305051325
10.1177/0261927X17736084,2764136343,10.1177/0261927X17736084
10.1177/0272989X06291326,2121347427,10.1177/0272989X06291326
10.1177/0300060517706643,2625394081,10.1177/0300060517706643
10.1177/0306624X10372110,2130307027,10.1177/0306624X10372110
10.1177/0306624X11406091,2107356399,10.1177/0306624X11406091
10.1177/036319909802300405,2010222666,10.1177/036319909802300405
10.1177/0486613411402638,1964205204,10.1177/0486613411402638
10.1177/0730888408322008,2165489917,10.1177/0730888408322008
10.1177/0734016808330589,2162021646,10.1177/0734016808330589
10.1177/0748730415586482,2169786971,10.1177/0748730415586482
10.1177/0886260503253240,2124020163,10.1177/0886260503253240
10.1177/0886260510390950,2012432740,10.1177/0886260510390950
10.1177/0886260515569062,2096546403,10.1177/0886260515569062
10.1177/0886260517709801,2618261886,10.1177/0886260517709801
10.1177/0899764006295996,2044270804,10.1177/0899764006295996
10.1177/1079063214525645,2132587949,10.1177/1079063214525645
10.1177/1079063218791179,2899238876,10.1177/1079063218791179
10.1177/1362361315588200,2227393071,10.1177/1362361315588200
10.1177/1468017318795726,2891710777,10.1177/1468017318795726
10.1177/1469605314521275,2076700288,10.1177/1469605314521275
10.1177/1470320313494431,2114695749,10.1177/1470320313494431
10.1177/147470490700500203,2163492021,10.1177/147470490700500203
10.1177/147470490700500208,2182835379,10.1177/147470490700500208
10.1177/147470490900700305,2161120965,10.1177/147470490900700305
10.1177/1474704918761104,2792957177,10.1177/1474704918761104
10.1177/1550147717727713,2746914635,10.1177/1550147717727713
10.1177/1557085116668990,2520227541,10.1177/1557085116668990
10.1177/156482651203300408,2156769518,10.1177/156482651203300408
10.1177/1740774513494504,2151354423,10.1177/1740774513494504
10.1177/1757975916648301,2468608471,10.1177/1757975916648301
10.1177/1933719113492206,2158066857,10.1177/1933719113492206
10.1177/1933719114522521,2147681239,10.1177/1933719114522521
10.1177/1941406412470719,2060848713,10.1177/1941406412470719
10.1177/1946756712467302,2057317936,10.1177/1946756712467302
10.1177/1948550616681055,2606892986,10.1177/1948550616681055
10.1177/2059799117741407,2742405311,10.1177/2059799117741407
10.1177/2158244013511828,2099165418,10.1177/2158244013511828
10.1177/2158244014530728,2165454528,10.1177/2158244014530728
10.1177/2158244015618235,2255055684,10.1177/2158244015618235
10.1177/2158244016656230,2469063776,10.1177/2158244016656230
10.1177/2158244016684912,2569317122,10.1177/2158244016684912
10.7227/IJEEE.47.3.6,2332597996,10.7227/IJEEE.47.3.6
10.1057/palgrave.jmm.5050108,2072235424,10.1057/palgrave.jmm.5050108
10.1177/000169938302600201,2075335074,10.1177/000169938302600201
10.1177/0002764210361684,2113717190,10.1177/0002764210361684
10.1177/0003122417713188,2736726115,10.1177/0003122417713188
10.1177/0011128715627469,2299811419,10.1177/0011128715627469
10.1177/0021943610364524,2159543133,10.1177/0021943610364524
10.1177/002200277301700304,2072002352,10.1177/002200277301700304
10.1177/002242788302000203,2126443966,10.1177/002242788302000203
10.1177/0023830917712282,2778165064,10.1177/0023830917712282
10.1177/0047244112436908,2076153591,10.1177/0047244112436908
10.1177/0081175012460864,2022560228,10.1177/0081175012460864
10.1177/0093854818777556,2807568513,10.1177/0093854818777556
10.1177/0148607116673186,2533416916,10.1177/0148607116673186
10.1177/0164027505285922,2134813481,10.1177/0164027505285922
10.1177/0260106018782211,2865111340,10.1177/0260106018782211
10.1177/0264619616685376,2613190028,10.1177/0264619616685376
10.1177/0275074005285666,1983205717,10.1177/0275074005285666
10.1177/0276146706294026,2120342419,10.1177/0276146706294026
10.1177/0300060515608296,2294693895,10.1177/0300060515608296
10.1177/0300060517730174,2755612798,10.1177/0300060517730174
10.1177/0735633118759455,2791303061,10.1177/0735633118759455
10.1177/0739986311428812,2093620320,10.1177/0739986311428812
10.1177/0886109905283135,2059679313,10.1177/0886109905283135
10.1177/0974929213496502,2013461470,10.1177/0974929213496502
10.1177/1077801203255865,2130700958,10.1177/1077801203255865
10.1177/1098611114548098,1979491074,10.1177/1098611114548098
10.1177/1358863X14537883,2156179322,10.1177/1358863X14537883
10.1177/1367006912456586,2008541478,10.1177/1367006912456586
10.1177/1464884916685909,2563056403,10.1177/1464884916685909
10.1177/1471301218786636,2834015056,10.1177/1471301218786636
10.1177/1524839918755143,2793690673,10.1177/1524839918755143
10.1177/153244000400400303,2040771383,10.1177/153244000400400303
10.1177/1532673X8701500101,2033779814,10.1177/1532673X8701500101
10.1177/1557085105283953,2165455854,10.1177/1557085105283953
10.1177/1756287211400661,2102495047,10.1177/1756287211400661
10.1177/2041669516675366,2547838286,10.1177/2041669516675366
10.1177/2041669517723653,2744167804,10.1177/2041669517723653
10.1177/2158244015603107,2300718056,10.1177/2158244015603107
10.1177/2158244015612517,2466364778,10.1177/2158244015612517
10.1177/2158244017705422,2610460300,10.1177/2158244017705422
10.1243/0954407011528437,"",""
10.1345/aph.18424,2150491219,10.1345/aph.18424
10.1345/aph.1G437,2166950599,10.1345/aph.1G437
10.1525/jer.2008.3.3.27,2148922427,10.1525/jer.2008.3.3.27
10.4278/0890-1171-14.4.236,2173109136,10.4278/0890-1171-14.4.236
bbk-109,"",""
bbk-3,"",""
10.1042/AN20130002,2054728509,10.1042/AN20130002
10.1057/thr.2010.16,2166126659,10.1057/thr.2010.16
10.1177/0003122418785371,2838825199,10.1177/0003122418785371
10.1177/0013124510380717,2038729960,10.1177/0013124510380717
10.1177/003804070607900401,2001876419,10.1177/003804070607900401
10.1177/0044118X14521222,2030118428,10.1177/0044118X14521222
10.1177/0192513x13479595,"",""
10.1177/0260106018758519,2791996735,10.1177/0260106018758519
10.1177/0300060516655243,2526559864,10.1177/0300060516655243
10.1177/0363546514565089,2161679992,10.1177/0363546514565089
10.1177/0741932514530572,2151771317,10.1177/0741932514530572
10.1177/0886260511403751,2155206277,10.1177/0886260511403751
10.1177/0896920512440583,2164309454,10.1177/0896920512440583
10.1177/096973300100800310,2131689955,10.1177/096973300100800310
10.1177/1049732310362986,2106857561,10.1177/1049732310362986
10.1177/1077559510367938,2055198356,10.1177/1077559510367938
10.1177/1077559515611246,2155680943,10.1177/1077559515611246
10.1177/1356389015592546,2339628507,10.1177/1356389015592546
10.1177/1367549412457480,2145683323,10.1177/1367549412457480
10.1177/138826271001200404,2594608955,10.1177/138826271001200404
10.1177/1462474517745892,2772174710,10.1177/1462474517745892
10.1177/1470320314557848,2004026580,10.1177/1470320314557848
10.1177/147470490800600403,2151623870,10.1177/147470490800600403
10.1177/1477370811413818,2138340437,10.1177/1477370811413818
10.1177/1477750917738113,2765212499,10.1177/1477750917738113
10.1177/1532673X8201000304,2036615776,10.1177/1532673X8201000304
10.1177/156482651303400413,2255970796,10.1177/156482651303400413
10.1177/160940691000900206,2104354365,10.1177/160940691000900206
10.1177/1740774517699409,2520941972,10.1177/1740774517699409
10.1177/1933719109332827,2078805261,10.1177/1933719109332827
10.1177/2047487315607044,2259572715,10.1177/2047487315607044
10.1177/2055102916634364,2304973767,10.1177/2055102916634364
10.1177/2055102916636907,2317602843,10.1177/2055102916636907
10.1177/2055102916657673,2461216711,10.1177/2055102916657673
10.1177/2158244014527989,2104897000,10.1177/2158244014527989
10.1177/2158244014553590,2144767605,10.1177/2158244014553590
10.1177/2158244015604696,2473045516,10.1177/2158244015604696
10.1177/2158244015621113,2207652165,10.1177/2158244015621113
10.1177/2158244016654949,2303358030,10.1177/2158244016654949
10.1177/2158244016668220,2542608129,10.1177/2158244016668220
10.1177/2158244017707992,2614137935,10.1177/2158244017707992
10.1177/2372732218785193,2889853565,10.1177/2372732218785193
10.1243/1748006XJRR307,1977543843,10.1243/1748006XJRR307
10.2190/PM.40.1.f,2168707482,10.2190/PM.40.1.f
10.3102/0013189X17694165,2593911918,10.3102/0013189X17694165
10.3102/0034654308325693,2158836722,10.3102/0034654308325693
10.3102/01623737025002119,2109700222,10.3102/01623737025002119
10.3102/1076998614529159,1993335444,10.3102/1076998614529159
10.3818/JRP.14.2.2012.103,2314248816,10.3818/JRP.14.2.2012.103
10.1068/i0598,1995792278,10.1068/i0598
10.1080/14034940600858615,1978104180,10.1080/14034940600858615
10.1177/0003122411416934,2159779396,10.1177/0003122411416934
10.1177/0003122415573049,2105357339,10.1177/0003122415573049
10.1177/001112802237131,2124041696,10.1177/001112802237131
10.1177/0021998315593795,881164035,10.1177/0021998315593795
10.1177/002214650504600106,2137348786,10.1177/002214650504600106
10.1177/0022146512468591,2104580418,10.1177/0022146512468591
10.1177/002234338402100306,2155165330,10.1177/002234338402100306
10.1177/0032318715585033,1182453521,10.1177/0032318715585033
10.1177/0046958017751970,2789737805,10.1177/0046958017751970
10.1177/0093854816660583,2502363788,10.1177/0093854816660583
10.1177/0192513X06296307,2097132112,10.1177/0192513X06296307
10.1177/0193945915625922,2229609163,10.1177/0193945915625922
10.1177/026101830002000305,2064339569,10.1177/026101830002000305
10.1177/0261927X05284485,2007397359,10.1177/0261927X05284485
10.1177/0300060513509037,2130396009,10.1177/0300060513509037
10.1177/0300060517695646,2601127977,10.1177/0300060517695646
10.1177/0300060517711088,2621857546,10.1177/0300060517711088
10.1177/0306624X17735093,2766236985,10.1177/0306624X17735093
10.1177/0891241610384995,2123174164,10.1177/0891241610384995
10.1177/0898264305285619,2017373336,10.1177/0898264305285619
10.1177/1049909115577352,2060332337,10.1177/1049909115577352
10.1177/1053451214560891,2018382523,10.1177/1053451214560891
10.1177/1056789507060779,2056629577,10.1177/1056789507060779
10.1177/1059601116674826,2555482065,10.1177/1059601116674826
10.1177/10634266040120040201,1975550268,10.1177/10634266040120040201
10.1177/1098611107299998,2149197659,10.1177/1098611107299998
10.1177/1098611116664336,2514024617,10.1177/1098611116664336
10.1177/1403494812443605,2111991435,10.1177/1403494812443605
10.1177/1468794117753353,2784091840,10.1177/1468794117753353
10.1177/1473325015585161,2210557429,10.1177/1473325015585161
10.1177/147470490600400127,2342435704,10.1177/147470490600400127
10.1177/1557085111420556,2140289608,10.1177/1557085111420556
10.1177/1756283X17726018,2747311551,10.1177/1756283X17726018
10.1177/193229681300700219,2121956155,10.1177/193229681300700219
10.1177/2041669517739635,2772945629,10.1177/2041669517739635
10.1177/2042098613489721,2132162317,10.1177/2042098613489721
10.1177/2053168017751250,2790108860,10.1177/2053168017751250
10.1177/2158244013491405,2153310177,10.1177/2158244013491405
10.1177/2158244013491947,2103865014,10.1177/2158244013491947
10.1177/2158244013511258,2122955101,10.1177/2158244013511258
10.1177/2158244016638706,2318574398,10.1177/2158244016638706
10.1177/2158244016646147,2397291632,10.1177/2158244016646147
10.1177/2158244017695169,2593892799,10.1177/2158244017695169
10.1509/jmkr.46.6.846_JMR6K,"",""
10.1509/jppm.14.095,2178426372,10.1509/jppm.14.095
10.1068/i0669,2089047518,10.1068/i0669
10.1177/0002764204267259,2042318824,10.1177/0002764204267259
10.1177/0016986217690228,2584752765,10.1177/0016986217690228
10.1177/0017896918798421,2891946109,10.1177/0017896918798421
10.1177/0022002704270847,2141678062,10.1177/0022002704270847
10.1177/0022219418775117,2909009915,10.1177/0022219418775117
10.1177/0037549717708246,2618347484,10.1177/0037549717708246
10.1177/0049124102030004003,2021464544,10.1177/0049124102030004003
10.1177/0049124118782533,2599025709,10.1177/0049124118782533
10.1177/0093854807307030,2167527149,10.1177/0093854807307030
10.1177/0093854812468434,2028071604,10.1177/0093854812468434
10.1177/0095399705284202,1969912265,10.1177/0095399705284202
10.1177/0160017605279000,2140362336,10.1177/0160017605279000
10.1177/0165025409345073,2110226057,10.1177/0165025409345073
10.1177/0190272514546698,2162315440,10.1177/0190272514546698
10.1177/0264550504048246,2023380066,10.1177/0264550504048246
10.1177/0269094211409341,2155044911,10.1177/0269094211409341
10.1177/0300060517726229,2747371430,10.1177/0300060517726229
10.1177/0306624X13495168,2120438844,10.1177/0306624X13495168
10.1177/0308022614561239,2167039957,10.1177/0308022614561239
10.1177/0887403416638507,2311741382,10.1177/0887403416638507
10.1177/0898264313497795,1982661493,10.1177/0898264313497795
10.1177/0959680115621410,2390256310,10.1177/0959680115621410
10.1177/1043986208323264,2167325386,10.1177/1043986208323264
10.1177/1062860612444459,2135062863,10.1177/1062860612444459
10.1177/1077699013503164,2024470366,10.1177/1077699013503164
10.1177/1077800410383117,2118713179,10.1177/1077800410383117
10.1177/1078390307307260,2090246331,10.1177/1078390307307260
10.1177/1090198116629424,2333267894,10.1177/1090198116629424
10.1177/1096348012451459,2169532061,10.1177/1096348012451459
10.1177/1098611110373997,2077482747,10.1177/1098611110373997
10.1177/1356389004045075,2088280977,10.1177/1356389004045075
10.1177/1362480612443302,2322622222,10.1177/1362480612443302
10.1177/14647000122229550,2129817131,10.1177/14647000122229550
10.1177/1465116505057816,2062662966,10.1177/1465116505057816
10.1177/147470490800600303,2184185320,10.1177/147470490800600303
10.1177/147470491201000306,1899713157,10.1177/147470491201000306
10.1177/147470491301100314,2125019855,10.1177/147470491301100314
10.1177/1525740110368846,2050400666,10.1177/1525740110368846
10.1177/1541204013505298,2331069261,10.1177/1541204013505298
10.1177/1740774517752113,2787517844,10.1177/1740774517752113
10.1177/1747493017690755,2559711071,10.1177/1747493017690755
10.1177/1749975508095615,1986854214,10.1177/1749975508095615
10.1177/2042533313514048,2116516763,10.1177/2042533313514048
10.1177/2053951715597457,2167598270,10.1177/2053951715597457
10.1177/2053951716673390,2534932498,10.1177/2053951716673390
10.1177/2055102918755045,2790452224,10.1177/2055102918755045
10.1177/2158244013514060,2743397182,10.1177/2158244013514060
10.1177/2158244013516768,2156099569,10.1177/2158244013516768
10.1177/2158244015589997,2148837756,10.1177/2158244015589997
10.1177/2158244015618995,2274110562,10.1177/2158244015618995
10.1177/2158244017701800,2607069049,10.1177/2158244017701800
10.1177/2158244017704241,2606785281,10.1177/2158244017704241
10.1509/jm.16.0200,2773240097,10.1509/jm.16.0200
10.1509/jmkg.74.5.104,2077411956,10.1509/jmkg.74.5.104
10.2190/8P8H-RVQ1-CQUU-H67Y,2065245116,10.2190/8P8H-RVQ1-CQUU-H67Y
10.2190/A4JM-PGR9-35PH-4WCW,2143749066,10.2190/A4JM-PGR9-35PH-4WCW
10.3102/0162373707309074,2160139732,10.3102/0162373707309074
bbk-112,"",""
10.1068/a151633,2063460073,10.1068/a151633
10.1080/15401420390249880,2068174403,10.1080/15401420390249880
10.1080/15401420490900272,2137672543,10.1080/15401420490900272
10.1177/0004865810393103,2133754859,10.1177/0004865810393103
10.1177/0010414003257593,2000704733,10.1177/0010414003257593
10.1177/0011128707307218,2125065924,10.1177/0011128707307218
10.1177/0013161X09335545,2077442794,10.1177/0013161X09335545
10.1177/0013916516670982,2526914871,10.1177/0013916516670982
10.1177/001789699905800402,1974440574,10.1177/001789699905800402
10.1177/002200277201600204,1987637276,10.1177/002200277201600204
10.1177/0022042612436650,2016984786,10.1177/0022042612436650
10.1177/0022427806286564,2169201026,10.1177/0022427806286564
10.1177/002242788001700208,2169695570,10.1177/002242788001700208
10.1177/0042085999343003,2107671291,10.1177/0042085999343003
10.1177/0093854802029001003,2016747374,10.1177/0093854802029001003
10.1177/0164027505284048,2071692924,10.1177/0164027505284048
10.1177/0190272513493094,2150158051,10.1177/0190272513493094
10.1177/0192513X13501666,2130951489,10.1177/0192513X13501666
10.1177/0300060515607386,2306783454,10.1177/0300060515607386
10.1177/0300060516655237,2509389010,10.1177/0300060516655237
10.1177/0333102418806864,2896345080,10.1177/0333102418806864
10.1177/0829573512468847,2054572064,10.1177/0829573512468847
10.1177/0896920517745117,2774315339,10.1177/0896920517745117
10.1177/0956247817738201,2768507084,10.1177/0956247817738201
10.1177/0961463X15604517,2407346262,10.1177/0961463X15604517
10.1177/0963947011435864,2146618534,10.1177/0963947011435864
10.1177/1040638715575751,2062659247,10.1177/1040638715575751
10.1177/1062860617696579,2591948034,10.1177/1062860617696579
10.1177/1073191106292957,1968045214,10.1177/1073191106292957
10.1177/1078087406297026,2039576561,10.1177/1078087406297026
10.1177/1088767902006003005,2008358252,10.1177/1088767902006003005
10.1177/1352458514524293,2081934611,10.1177/1352458514524293
10.1177/1440783310386824,1991429871,10.1177/1440783310386824
10.1177/1461355718756412,2791174476,10.1177/1461355718756412
10.1177/147470491000800314,2237401114,10.1177/147470491000800314
10.1177/1548051818774552,2802583833,10.1177/1548051818774552
10.1177/1740774518759281,2793899037,10.1177/1740774518759281
10.1177/2158244015569408,2118992001,10.1177/2158244015569408
10.1177/2158244016629522,2305091575,10.1177/2158244016629522
10.1177/2164956118769557,2883366785,10.1177/2164956118769557
10.1177/2333392815590397,2155537958,10.1177/2333392815590397
10.1177/8756870518792907,2886322919,10.1177/8756870518792907
10.1509/jmkr.47.5.883,2062501218,10.1509/jmkr.47.5.883
10.2190/2X44-CR14-YHJC-9EQ3,2033138008,10.2190/2X44-CR14-YHJC-9EQ3
10.4137/EHI.S8199,1494853522,10.4137/EHI.S8199
10.5367/te.2013.0289,2078942274,10.5367/te.2013.0289
10.1177/0001699309348703,2066880370,10.1177/0001699309348703
10.1177/000992280404300605,2150522975,10.1177/000992280404300605
10.1177/0010414015626444,1896651794,10.1177/0010414015626444
10.1177/0011128705278012,2157833675,10.1177/0011128705278012
10.1177/0011128712453677,2148223185,10.1177/0011128712453677
10.1177/0022002702046003001,2027231509,10.1177/0022002702046003001
10.1177/0022343301038005001,2108200070,10.1177/0022343301038005001
10.1177/0022427809335172,2140525345,10.1177/0022427809335172
10.1177/0031512516681693,2560079006,10.1177/0031512516681693
10.1177/004908571104100401,2315608878,10.1177/004908571104100401
10.1177/0093854818809148,2898122934,10.1177/0093854818809148
10.1177/0148558X13512405,2132081107,10.1177/0148558X13512405
10.1177/0275074014524013,2111087803,10.1177/0275074014524013
10.1177/0300060513516756,2102224576,10.1177/0300060513516756
10.1177/0306624X02239272,1963838866,10.1177/0306624X02239272
10.1177/0306624X14540492,2079536144,10.1177/0306624X14540492
10.1177/0887403414526231,2106645994,10.1177/0887403414526231
10.1177/088740349901000306,2028679180,10.1177/088740349901000306
10.1177/0896920512446758,2312608152,10.1177/0896920512446758
10.1177/095269519801100406,1981587619,10.1177/095269519801100406
10.1177/1043986210369283,1977551209,10.1177/1043986210369283
10.1177/1056789512446820,2061765728,10.1177/1056789512446820
10.1177/1077801207312633,2103293191,10.1177/1077801207312633
10.1177/107906329901100106,2130451709,10.1177/107906329901100106
10.1177/1087724X07301536,2070289827,10.1177/1087724X07301536
10.1177/1091142107299269,2020889243,10.1177/1091142107299269
10.1177/1455072518787619,2886384505,10.1177/1455072518787619
10.1177/1462474518790237,2883769790,10.1177/1462474518790237
10.1177/146613802401092760,2153705125,10.1177/146613802401092760
10.1177/1468018115615643,2417231645,10.1177/1468018115615643
10.1177/1470320314561247,2145308886,10.1177/1470320314561247
10.1177/147470491501300101,2195828648,10.1177/147470491501300101
10.1177/1532673X99027001006,2067224509,10.1177/1532673X99027001006
