,pdf_file_name,pub_date,publication_id,text_file_name,title,unique_identifier
81,2919.pdf,1969-01-01,2919,2919.txt,The payout behavior of German savings banks,bbk-169
82,2921.pdf,1969-01-01,2921,2921.txt,Time series properties of a rating system based on financial ratios,bbk-171
83,2925.pdf,1969-01-01,2925,2925.txt,Banking consolidation and small businessfinance: empirical evidence for Germany,bbk-175
84,2929.pdf,1969-01-01,2929,2929.txt,Contagion in the interbank market and its determinants,bbk-179
85,2940.pdf,1969-01-01,2940,2940.txt,The Effects of Multinationals’ Profit Shifting Activities on Real Investments,bbk-190
86,2942.pdf,1969-01-01,2942,2942.txt,The implications of latent technology regimes for competition and efficiency in banking,bbk-192
87,2943.pdf,1969-01-01,2943,2943.txt,"Corporate marginal tax rate, tax loss carryforwards and investment functions: empirical analysis using a large German panel data set",bbk-193
88,2945.pdf,1969-01-01,2945,2945.txt,The Taxation of Passive Foreign Investment: Lessons from German Experience,bbk-195
89,2949.pdf,1969-01-01,2949,2949.txt,Global Production with Export Platforms,bbk-199
90,2950.pdf,1969-01-01,2950,2950.txt,Estimating Bilateral Exposures in the German Interbank Market: Is there a Danger of Contagion?,bbk-200
91,2952.pdf,1969-01-01,2952,2952.txt,"Using cash to monitor liquidity: Implications for payments, currency demand and withdrawal behavior",bbk-202
92,2954.pdf,1969-01-01,2954,2954.txt,Exploring the role of uncertainty for corporate investment decisions in Germany,bbk-204
93,2962.pdf,1969-01-01,2962,2962.txt,Foreign direct investment in the enlarged EU: do taxes matter and to what extent?,bbk-212
94,2963.pdf,1969-01-01,2963,2963.txt,Monetary policy effects on bank loans in Germany: A panel-econometric analysis,bbk-213
95,3159.pdf,1969-01-01,3159,3159.txt,The Impact of Tax Treaties and Repatriation Taxes on FDI Revisited,bbk-215
96,3160.pdf,1969-01-01,3160,3160.txt,The Effects of Company Taxation in EU Accession Countries on German Multinationals,bbk-216
97,3161.pdf,1969-01-01,3161,3161.txt,Interbank tiering and money center banks,bbk-217
98,3162.pdf,1969-01-01,3162,3162.txt,Rent-seeking in elite networks,bbk-218
99,5713.pdf,1987-01-01,5713,5713.txt,An epidemiological investigation into the relative importance of age and oral hygiene status as determinants of periodontitis,10.1177/00220345870660010201
100,5714.pdf,1999-01-01,5714,5714.txt,Predictors of African American well-being,10.1177/0095798499025001006
101,5715.pdf,1994-01-01,5715,5715.txt,Electoral Status and Representation in the United States Senate: Does Temporal Proximity to Election Matter?,10.1177/1532673X9402200107
102,5716.pdf,1979-01-01,5716,5716.txt,Structural Violence at the World Level: Diachronic Findings,10.1177/002234337901600305
103,5717.pdf,2003-01-01,5717,5717.txt,Economic Valuations and Interethnic Fears: Perceptions of Chinese Migration in the Russian Far East,10.1177/0022343303040001207
104,5718.pdf,2000-01-01,5718,5718.txt,The Promise of Urban Democracy: Big-City Black Mayoral Service in the Early 1990s,10.1177/10780870022184462
105,5719.pdf,1977-01-01,5719,5719.txt,Angels in plastic: The liberal surge in 1974,10.1111/j.1467-9248.1977.tb01285.x
106,5720.pdf,1997-01-01,5720,5720.txt,How effective an educational tool is student community service?,10.1177/019263659708159103
107,5721.pdf,1990-01-01,5721,5721.txt,The Puzzle of Party Identification: Dimensionality of an Important Concept,10.1177/1532673X9001800405
108,5722.pdf,1993-01-01,5722,5722.txt,Policy Moderation or Conflicting Expectations: Testing the Intentional Models of Split-Ticket Voting,10.1177/1532673X9302100402
109,5723.pdf,1998-01-01,5723,5723.txt,The middle school experience: Effects on the math and science achievement of adolescents with LD,10.1177/002221949803100203
110,5724.pdf,2002-01-01,5724,5724.txt,United Nations Intervention by United Democracies? State Commitment to UN Interventions 1991-99,10.1177/001083602762574469
111,5725.pdf,2001-01-01,5725,5725.txt,"Physical appearance and control beliefs in young, middle-aged, and older adults",10.1177/0146167201278005
112,5726.pdf,2000-01-01,5726,5726.txt,Comparison of a Self-Reported and a Performance-Based Assessment of Mobility in the Hispanic Established Population for Epidemiological Studies of the Elderly,10.1177/0164027500226006
113,5727.pdf,1973-01-01,5727,5727.txt,National Support for World Order: A Research Note,10.1177/002200277301700303
114,5728.pdf,1979-01-01,5728,5728.txt,Work and earnings: Cumulative experience method of analysis of longitudinal surveys,10.1177/004912417900800205
115,5729.pdf,1978-01-01,5729,5729.txt,"Size, Growth, and Urban Life: A Study of Medium-Sized American Cities",10.1177/107808747801400201
116,5730.pdf,1983-01-01,5730,5730.txt,Widowhood and well-being: An examination of sex differences within a causal model,10.2190/V13T-0DT1-TX7D-9M9X
117,5731.pdf,1993-01-01,5731,5731.txt,A New Approach to Poverty Dynamics,10.1177/075910639303800102
118,5732.pdf,2000-01-01,5732,5732.txt,A World Flying Apart? Violent Nationalist Conflict and the End of the Cold War,10.1177/0022343300037001006
119,5733.pdf,1972-01-01,5733,5733.txt,"Conflict Escalation and Conflict Reduction in an International Crisis: Suez, 1956",10.1177/002200277201600204
120,5734.pdf,1994-01-01,5734,5734.txt,Rising black unemployment: Changes in job stability or in employability?,10.1007/BF02689973
121,5735.pdf,2000-01-01,5735,5735.txt,"Two steps forward, one step back: Race/ethnicity and student achievement in education policy research",10.1177/0895904800144004
122,5736.pdf,1975-01-01,5736,5736.txt,The effects of density on social behavior and attitudes,10.1177/000276427501800606
123,5737.pdf,2002-01-01,5737,5737.txt,The interchangeability of homicide data sources,10.1177/1088767902006003003
124,5738.pdf,2001-01-01,5738,5738.txt,A critical inquiry of enslaved African females and the antebellum hospital experience,10.1177/002193470103100501
125,5739.pdf,1972-01-01,5739,5739.txt,"Patterns of Domestic Conflict, 1919-1939 and 1946-1966",10.1177/002200277201600103
126,5740.pdf,2000-01-01,5740,5740.txt,Discrete-time multilevel hazard analysis,10.1111/0081-1750.00079
127,5741.pdf,1999-01-01,5741,5741.txt,Social support and life satisfaction among the never married: Examining the effects of age,10.1177/0164027599211003
128,5742.pdf,1997-01-01,5742,5742.txt,A dual-source indicator of consumer confidence,10.1111/1467-9531.271029
129,5743.pdf,1990-01-01,5743,5743.txt,The effect of establishment and firm size on public wage differentials,10.1177/109114219001800205
130,5744.pdf,1999-01-01,5744,5744.txt,"Opportunity crises: Framework and findings, 1918-1994",10.1177/073889429901700103
131,5745.pdf,1989-01-01,5745,5745.txt,Enduring Gender Differences in Political Interest: The Impact of Socialization and Political Dispositions,10.1177/1532673X8901700106
132,5746.pdf,1997-01-01,5746,5746.txt,Knowledge of politics and sense of subjective political competence: The ambiguous connection,10.1177/1532673X9702500205
133,5747.pdf,1999-01-01,5747,5747.txt,'Video malaise' revisited: Public trust in the media and government,10.1177/1081180X9900400402
134,5748.pdf,1992-01-01,5748,5748.txt,Limited Ideological Accountability in House Races: The Conditioning Effect of Party,10.1177/1532673X9202000203
135,5749.pdf,1977-01-01,5749,5749.txt,Response error in earnings functions for nonblack males,10.1177/004912417700600207
136,5750.pdf,1973-01-01,5750,5750.txt,The Demographic Basis of Wallace Support in Alabama,10.1177/1532673X7300100301
137,5751.pdf,2003-01-01,5751,5751.txt,"Mass legal executions of Blacks in the United States, 17th-20th centuries",10.1177/1088767903253607
138,5752.pdf,1972-01-01,5752,5752.txt,The Impact of Israel's Reprisals on Behavior of the Bordering Arab Nations Directed at Israel,10.1177/002200277201600203
139,5753.pdf,1973-01-01,5753,5753.txt,Homicide in Chicago 1965-1970,10.1177/002242787301000101
140,5754.pdf,2002-01-01,5754,5754.txt,The temporal links between conflict and economic activity,10.1177/0022002702046001005
141,5755.pdf,1983-01-01,5755,5755.txt,The Influence of Capacity on Prison Population: A Critical Review of Some Recent Evidence,10.1177/001112878302900101
142,5756.pdf,2000-01-01,5756,5756.txt,Left turn in Europe? Reactions to austerity and the EMU,10.1177/106591290005300307
143,5757.pdf,2003-01-01,5757,5757.txt,Nonoffending mothers of sexually abused children: A case of institutionalized sexism?,10.1177/1077801203256001
144,5758.pdf,2000-01-01,5758,5758.txt,Subjective measures of liberal democracy,10.1177/0010414000033001003
145,5759.pdf,1976-01-01,5759,5759.txt,Crowding and Urban Crime Rates,10.1177/107808747601100301
146,5760.pdf,2001-01-01,5760,5760.txt,Social problem-solving skills training for incarcerated offenders,10.1177/0145445501252001
147,5761.pdf,1981-01-01,5761,5761.txt,Decline of U.S. voter turnout: Structural explanations,10.1177/1532673X8100900201
148,5762.pdf,1994-01-01,5762,5762.txt,Retropsective Voting and Future Expectations: The Case of the Budget Deficit in the 1988 Election,10.1177/1532673X9402200302
149,5763.pdf,1990-01-01,5763,5763.txt,Specifying the Impact of Incumbency on State Legislative Elections: A District-Level Analysis,10.1177/1532673X9001800302
150,5764.pdf,1979-01-01,5764,5764.txt,State Behavior in an International Crisis: A Model,10.1177/002200277902300304
151,5765.pdf,1980-01-01,5765,5765.txt,Recent econometric modeling of crime and punishment: Support for the deterrence hypothesis?,10.1177/0193841X8000400201
152,5766.pdf,1966-01-01,5766,5766.txt,Belligerence among the Primitives: A Re-Analysis of Quincy Wright's Data,10.1177/002234336600300102
153,5767.pdf,2001-01-01,5767,5767.txt,Work stress in the family life of African Americans,10.1177/002193470103100608
154,5768.pdf,1987-01-01,5768,5768.txt,Leaders and Followers in a Strong Party State,10.1177/1532673X8701500103
155,5769.pdf,1981-01-01,5769,5769.txt,The Reporting of Military Expenditures,10.1177/002234338101800303
156,5770.pdf,1987-01-01,5770,5770.txt,An appraisal of the NIMH Epidemiologic Catchment Area Program,10.3109/00048678709160911
157,5771.pdf,2003-01-01,5771,5771.txt,"U.S. military intervention in crisis, 1945-1994: An empirical inquiry of just war theory",10.1177/0022002702251031
158,5772.pdf,1998-01-01,5772,5772.txt,The politics of black evangelicals: what hinders diversity in the Christian Right?,10.1177/1532673X9802600105
159,5773.pdf,1979-01-01,5773,5773.txt,Theory building in political socialization: Explorations of political trust and social learing theory,10.1177/1532673X7900700404
160,5774.pdf,2001-01-01,5774,5774.txt,When have presidential campaigns decided election outcomes?,10.1177/1532673X01029005002
161,5775.pdf,2000-01-01,5775,5775.txt,Gendered Conflict,10.1177/0022343300037001003
162,5776.pdf,1969-01-01,5776,5776.txt,How Wars End: An Analysis of Some Current Hypotheses,10.1177/002234336900600402
163,5777.pdf,2001-01-01,5777,5777.txt,Misreport of vote choice in U.S. Senate and Gubernatorial elections,10.1177/153244000100100205
164,5778.pdf,1998-01-01,5778,5778.txt,"Polarisation, public housing and racial minorities in US cities",10.1080/0042098984204
165,5779.pdf,1981-01-01,5779,5779.txt,Explanations of turnout decline: A multivariate test,10.1177/1532673X8100900203
166,5780.pdf,1997-01-01,5780,5780.txt,Socio-economic differences in risk factors for morbidity and mortality in the European Community: An international comparison,10.1177/135910539700200306
167,5781.pdf,1969-01-01,5781,5781.txt,"An Inductive, Empirical Analysis of Intra- and International Behavior, Aimed at a Partial Extension of Inter-Nation Simulation Theory",10.1177/002234336900600302
168,5782.pdf,1999-01-01,5782,5782.txt,"Social altruism, tax policy and crime: A cautionary tale",10.1177/088740349901000305
169,5783.pdf,1974-01-01,5783,5783.txt,An evaluation of the effectiveness of the OEO Legal Services Program,10.1177/107808747400900405
170,5784.pdf,1987-01-01,5784,5784.txt,Growth with Equity: A Test of Olson's Theory for the Asian Pacific-Rim Countries,10.1177/002234338702400204
171,5785.pdf,2001-01-01,5785,5785.txt,"Congregations and Social Services: What They Do, How They Do It, and with Whom",10.1177/0899764001304003
172,5786.pdf,1996-01-01,5786,5786.txt,"Changes in the living arrangements, work patterns, and economic status of middle-aged single women: 1971-1991",10.1177/088610999601100203
173,5787.pdf,1969-01-01,5787,5787.txt,The Perceptual Base of Nonalignment,10.1177/002200276901300104
174,5788.pdf,2000-01-01,5788,5788.txt,"Western dreams, Eastern realities: Support for the European Union in Central and Eastern Europe",10.1177/0010414000033010001
175,5789.pdf,1973-01-01,5789,5789.txt,"Citizen values, poser, and policy outputs: A model of community decision-making",10.1177/009539977300400402
176,5790.pdf,1992-01-01,5790,5790.txt,Comparing Cross-Sectional and Longitudinal Analysis of Residential Mobility and Migration,10.1068/a241291
177,5791.pdf,1996-01-01,5791,5791.txt,Partisan dealignment electoral choice and party-system change in Canada,10.1177/1354068896002004002
178,5792.pdf,1979-01-01,5792,5792.txt,The Process of Black Suburbanization,10.1177/107808747901400401
179,5793.pdf,1980-01-01,5793,5793.txt,How do 2-year colleges serve recent high school graduates?,10.1177/009155218000700303
180,5794.pdf,1981-01-01,5794,5794.txt,Residential burglary in the United States: Life-style and demographic factors associated with the probability of victimization,10.1177/002242788101800107
181,5795.pdf,2002-01-01,5795,5795.txt,"Strategic rivalries, protracted conflict, and crisis escalation",10.1177/0022343302039003002
182,5796.pdf,2002-01-01,5796,5796.txt,On the incidence of civil war in Africa,10.1177/0022002702046001002
183,5797.pdf,2000-01-01,5797,5797.txt,The racial wealth gap: Origins and implications for philanthropy in the African American community,10.1177/0899764000294003
184,5798.pdf,1969-01-01,5798,5798.txt,Of time and partisan stability,10.1177/001041406900200201
185,5799.pdf,1980-01-01,5799,5799.txt,Voter choice in the 1974 congressional elections,10.1177/1532673X8000800101
186,5800.pdf,1984-01-01,5800,5800.txt,Participation in Public Interest Groups: Membership Motivations,10.1177/1532673X8401200402
187,5801.pdf,2002-01-01,5801,5801.txt,Killed in the act: A descriptive analysis of crime-precipitated homicide,10.1177/1088767902006003005
188,5802.pdf,1980-01-01,5802,5802.txt,Sex Differences in Measurement Error in Status Attainment Models,10.1177/004912418000900205
189,5803.pdf,1985-01-01,5803,5803.txt,The Decline in Partisanship: A Test of Four Explanations,10.1177/1532673X8501300103
190,5804.pdf,1990-01-01,5804,5804.txt,The Conservative South?,10.1177/1532673X9001800106
191,5805.pdf,1999-01-01,5805,5805.txt,"Ripples from the Waves?: A Systemic, Time-Series Analysis of Democracy, Democratization, and Interstate War",10.1177/0022343399036001005
192,5806.pdf,2002-01-01,5806,5806.txt,Religious heterogamy and marital conflict: Findings from the National Survey of Families and Households,10.1177/0192513X02023004005
193,5807.pdf,1981-01-01,5807,5807.txt,"Military Spending in the United States, Soviet Union, and the People's Republic of China",10.1177/002200278102500303
194,5808.pdf,2001-01-01,5808,5808.txt,Gender's effect on the relationships linking older Americans' resources and financial satisfaction,10.1177/0164027501234002
195,5809.pdf,1999-01-01,5809,5809.txt,Environmental constraints and organizational outcomes: Modeling communities of police departments,10.1177/109861119900200203
196,5810.pdf,2002-01-01,5810,5810.txt,"Paradise Is a Bazaar? Greed, Creed, and Governance in Civil War, 1989-99",10.1177/0022343302039004002
197,5811.pdf,1997-01-01,5811,5811.txt,Long-term psychological and somatic consequences of later life parental bereavement,10.2190/39HG-YLKC-4CUV-NRAF
198,5812.pdf,1975-01-01,5812,5812.txt,"Voting in American presidential elections, 1956-1972",10.1177/1532673X7500300302
199,5813.pdf,2003-01-01,5813,5813.txt,The Reliability and Validity of Measures of Domestic Violence Resources as Used in Intimate Partner Homicide Research,10.1177/1077801202239002
200,5814.pdf,1968-01-01,5814,5814.txt,Some Patterns in the History of Violence,10.1177/002200276801200203
201,5815.pdf,1985-01-01,5815,5815.txt,Armaments without War: An Analysis of Some Underlying Effects,10.1177/002234338502200306
202,5816.pdf,2000-01-01,5816,5816.txt,"The geography of residential turnover in twenty-seven large US metropolitan housing markets, 1985-95",10.1080/0042098002168
203,5817.pdf,2000-01-01,5817,5817.txt,Similarity of the relations between marital status and subjective well-being across cultures,10.1177/0022022100031004001
204,5818.pdf,1979-01-01,5818,5818.txt,Media use and the life span: Notes on theory and method,10.1177/000276427902300102
205,5819.pdf,1979-01-01,5819,5819.txt,Underadjustment bias in the evaluation of manpower training,10.1177/0193841X7900300202
206,5820.pdf,2002-01-01,5820,5820.txt,"Democracy, Disputes, and Negotiated Settlements",10.1177/0022002702046004004
207,5821.pdf,1995-01-01,5821,5821.txt,Race and Female Occupational Location in America,10.1177/002193479502500404
208,5822.pdf,2002-01-01,5822,5822.txt,Retirement and mental health,10.1177/089826430201400201
209,5823.pdf,2001-01-01,5823,5823.txt,"Decisions not to report sexual assault: A comparative study among women living in Japan who are Japanese, Korean, Chinese, and English-speaking",10.1177/0306624X01453002
210,5824.pdf,1986-01-01,5824,5824.txt,Residential Attachment and Housing Demand,10.1080/00420988620080021
211,5825.pdf,1965-01-01,5825,5825.txt,The child's image of government,10.1177/000271626536100105
212,5826.pdf,1979-01-01,5826,5826.txt,"External and Internal Conflict Behavior Among Nations, 1966-1967",10.1177/002200277902300407
213,5827.pdf,2003-01-01,5827,5827.txt,Representing defense: Democratic control of the defense budget in the United States and Western Europe,10.1177/0022002703254477
214,5828.pdf,2000-01-01,5828,5828.txt,The Normative Anticipation of Retirement by Older Workers,10.1177/0164027500221001
215,5829.pdf,2002-01-01,5829,5829.txt,How much war will we see?: Explaining the prevalence of civil war,10.1177/0022002702046003001
216,5830.pdf,2002-01-01,5830,5830.txt,Conservative protestantism and the division of household labor among married couplesf,10.1177/019251302237299
217,5831.pdf,2000-01-01,5831,5831.txt,Religious involvement and mortality risk among African American adults,10.1177/0164027500226003
218,5832.pdf,1998-01-01,5832,5832.txt,Intergenerational household structure and economic change at the turn of the twentieth century,10.1177/036319909802300405
219,5833.pdf,1999-01-01,5833,5833.txt,Labor markets and opportunity structures: Modeling the contexts of retirement in the historical United States,10.1177/0164027599212004
220,5834.pdf,1999-01-01,5834,5834.txt,Differential attrition rates and active parental consent,10.1177/0193841X9902300304
221,5835.pdf,1983-01-01,5835,5835.txt,"Marriage, divorce, and remarriage from retrospective data: A multiregional approach",10.1068/a151633
222,5836.pdf,1984-01-01,5836,5836.txt,Diffusion of War: Some Theoretical Considerations and Empirical Evidence,10.1177/002234338402100306
223,5837.pdf,1983-01-01,5837,5837.txt,Societal transformation in Norway and changes in life course transitions into adulthood,10.1177/000169938302600201
224,5838.pdf,1966-01-01,5838,5838.txt,"Aggressive Behaviors within Polities, 1948-1962: A Cross-National Study",10.1177/002200276601000301
225,5839.pdf,1979-01-01,5839,5839.txt,Illusions of ticket-splitting,10.1177/1532673X7900700405
226,5840.pdf,1996-01-01,5840,5840.txt,"Democracy and growth: The sub-Saharan African case, 1960-1992",10.1007/BF02690054
227,5841.pdf,1996-01-01,5841,5841.txt,Current income versus total expenditure measures in regression models of vacation and pleasure travel,10.1177/004728759603500212
228,5842.pdf,2002-01-01,5842,5842.txt,Needle and syringe cleaning practices among injection drug users,10.2190/2HMC-W575-5M2E-G3LU
229,5843.pdf,1990-01-01,5843,5843.txt,Gender Differences in Foreign Policy Attitudes: A Longitudinal Analysis,10.1177/1532673X9001800406
230,5844.pdf,2000-01-01,5844,5844.txt,Value change and democratic reform in Japan and Korea,10.1177/0010414000033005003
231,5845.pdf,2001-01-01,5845,5845.txt,Preface to the JAR Special Issue: The Drug Abuse Treatment Outcome Studies for Adolescents,10.1177/0743558401166001
