pdf_file_name,pub_date,publication_id,text_file_name,title,unique_identifier
181.pdf,2002-01-01,181,181.txt,Health insurance expansions for working families: A comparison of targeting strategies,10.1377/hlthaff.21.4.246
182.pdf,1998-01-01,182,182.txt,Serum folate and chronic disease risk: findings from a cohort of United States adults,10.1093/ije/27.4.592
183.pdf,1998-01-01,183,183.txt,Depressive symptoms of whites and African Americans aged 60 years and older,10.1093/geronb/53B.5.P277
185.pdf,1998-01-01,185,185.txt,"The burden of environmental tobacco smoke exposure on the respiratory health of children 2 months through 5 years of age in the United States: Third National Health and Nutrition Examination Survey, 1988 to 1994",10.1542/peds.101.2.e8
186.pdf,1999-01-01,186,186.txt,"Distribution of waist-to-hip ratio, other indices of body fat distribution and obesity and associations with HDL cholesterol in children and young adults aged 4-19 years: The Third National Health and Nutrition Examination Survey",10.1038/sj.ijo.0800866
187.pdf,1999-01-01,187,187.txt,Population-based study of social and productive activities as predictors of survival among elderly Americans,10.1136/bmj.319.7208.478
188.pdf,2000-01-01,188,188.txt,Diabetes and physical disability among older U.S. adults,10.2337/diacare.23.9.1272
190.pdf,1997-01-01,190,190.txt,Reliability of reported age at menopause,10.1093/oxfordjournals.aje.a009353
191.pdf,1998-01-01,191,191.txt,Social correlates of the dimensions of depression in the elderly,10.1093/geronb/53B.1.P31
195.pdf,1996-01-01,195,195.txt,Disentangling the disablement process,10.1093/geronb/51B.4.S173
196.pdf,1992-01-01,196,196.txt,Gender and race differences in the correlation between body mass and education in the 1971-1975 NHANES I,10.1136/jech.46.3.191
197.pdf,1997-01-01,197,197.txt,Long-Term Determinants of Patterns of Health Insurance Coverage in the Medicare Population,10.1093/geront/37.3.314
199.pdf,2003-01-01,199,199.txt,"Driving while Black: Effects of race, ethnicity, and gender on citizen self-reports of traffic stops and police actions",10.1111/j.1745-9125.2003.tb00986.x
200.pdf,1998-01-01,200,200.txt,The dynamics of dimensions of age-related disability 1982 to 1994 in the U.S. elderly population,10.1093/gerona/53A.1.B59
202.pdf,1999-01-01,202,202.txt,Demographic issues in medicare reform,10.1377/hlthaff.18.1.194
203.pdf,2000-01-01,203,203.txt,Private Long-Term Care Insurance and the Asset Protection Motive,10.1093/geront/40.5.596
204.pdf,1997-01-01,204,204.txt,Use of medical care by African American and White older persons: comparative analysis of three national data sets,10.1093/geronb/52B.6.S325
205.pdf,2000-01-01,205,205.txt,Pesticide exposure and creatinine variation among young children,10.1038/sj.jea.7500119
206.pdf,1997-01-01,206,206.txt,"Prevalence of overweight among preschool children in the United States, 1971 through 1994",10.1542/peds.99.4.e1
207.pdf,1999-01-01,207,207.txt,Association of waist circumference with ApoB to ApoAI ratio in black and white Americans,10.1038/sj.ijo.0800849
208.pdf,1998-01-01,208,208.txt,"Hospitalizations associated with rotavirus diarrhea in the United States, 1993 through 1995: surveillance based on the new ICD-9-CM rotavirus-specific diagnostic code",10.1086/513808
209.pdf,1988-01-01,209,209.txt,Dramatic changes in the performance of endarterectomy for diseases of the extracranial arteries of the head,10.1161/01.STR.19.10.1289
210.pdf,1996-01-01,210,210.txt,"The Role of Bridge Jobs in the Retirement Transition: Gender, Race and Ethnicity",10.1093/geront/36.3.363
211.pdf,1998-01-01,211,211.txt,Impaired glucose tolerance and the likelihood of nonfatal stroke and myocardial infarction: the Third National Health and Nutrition Examination Survey,10.1161/01.STR.29.7.1329
212.pdf,1999-01-01,212,212.txt,Multiple Roles and Well-Being Among Midlife Women: Testing Role Strain and Role Enhancement Theories,10.1093/geronb/54B.6.S329
213.pdf,1998-01-01,213,213.txt,Cohort differences in disability and disease presence,10.1093/geront/38.5.578
214.pdf,2001-01-01,214,214.txt,Subclinical states of glucose intolerance and risk of death in the U.S.,10.2337/diacare.24.3.447
215.pdf,2001-01-01,215,215.txt,Betwixt and Between: Targeting Coverage Reforms to Those Approaching Medicare,10.1377/hlthaff.20.1.219
216.pdf,2000-01-01,216,216.txt,The impact of influenza epidemics on hospitalizations,10.1086/315320
217.pdf,1998-01-01,217,217.txt,Combining activities of daily living with instrumental activities of daily living to measure functional disability,10.1093/geronb/53B.1.S46
218.pdf,2002-01-01,218,218.txt,"The effects of obesity, smoking, and drinking on medical problems and costs",10.1377/hlthaff.21.2.245
219.pdf,1999-01-01,219,219.txt,Effects of surrogate parenting on grandparents' well-being,10.1093/geronb/54B.6.S376
220.pdf,2001-01-01,220,220.txt,"Influences of family obligations and relationships on retirement: Variations by gender, race, and marital status",10.1093/geronb/56.1.S20
221.pdf,2003-01-01,221,221.txt,The Theory of Human Development: A Cross-Cultural Analysis,10.1111/1475-6765.00086
222.pdf,1992-01-01,222,222.txt,Impact of unruptured intracranial aneurysms on public health in the United States,10.1161/01.STR.23.10.1416
223.pdf,2000-01-01,223,223.txt,"The nonpoor uninsured in California, 1998",10.1377/hlthaff.19.4.171
224.pdf,2003-01-01,224,224.txt,Direct-to-Consumer Advertising: Physicians' Views of Its Effects on Quality of Care and the Doctor-Patient Relationship,10.3122/jabfm.16.6.513
225.pdf,2004-01-01,225,225.txt,Trends in medical use and abuse of sustained-release opioid analgesics: A revisit,10.1111/j.1526-4637.2004.04001.x
226.pdf,2001-01-01,226,226.txt,"Reevaluation of the common factor theory of shared variance among age, sensory function, and cognitive function in older adults",10.1093/geronb/56.1.P3
227.pdf,1996-01-01,227,227.txt,Prevalence of blindness and visual impairment in an elderly urban population,10.1111/j.1442-9071.1996.tb01586.x
228.pdf,1997-01-01,228,228.txt,"Medically recognized urinary incontinence and risks of hospitalization, nursing home admission and mortality",10.1093/ageing/26.5.367
229.pdf,2003-01-01,229,229.txt,Neighborhood support and the birth weight of urban infants,10.1093/aje/kwf170
231.pdf,2004-01-01,231,231.txt,The Black/White Disability Gap: Persistent Inequality in Later Life?,10.1093/geronb/59.1.S34
232.pdf,2005-01-01,232,232.txt,Predicting adolescents' longitudinal risk for sexually transmitted infection: Results from the National Longitudinal Study of Adolescent Health,10.1001/archpedi.159.7.657
233.pdf,2002-01-01,233,233.txt,"American Adolescents: Sexual Mixing Patterns, Bridge Partners, and Concurrency",10.1097/00007435-200201000-00003
234.pdf,2003-01-01,234,234.txt,"Demographic, Intrinsic, and Extrinsic Factors Associated with Weapon Carrying at School",10.1001/archpedi.157.1.96
235.pdf,2005-01-01,235,235.txt,Are Adolescents Who Were Breast Fed Less Likely to be Overweight? Evaluation Using Traditional Cohort Analysis and Matched Sibling Controls,10.1097/01.ede.0000152900.81355.00
236.pdf,2004-01-01,236,236.txt,The Nutrition Transition: Worldwide Obesity Dynamics and Their Determinants,10.1038/sj.ijo.0802804
237.pdf,2004-01-01,237,237.txt,Is Condom Use Habit-Forming? Condom Use at Sexual Debut and Subsequent Condom Use,10.1097/00007435-200406000-00010
239.pdf,2003-01-01,239,239.txt,Trends in Medication Use and Functioning Before Retirement Age: Are They Linked?,10.1377/hlthaff.22.4.154
240.pdf,2001-01-01,240,240.txt,Maternal energy stores and diet composition during pregnancy program adolescent blood pressure,10.1161/hc3401.095037
241.pdf,2005-01-01,241,241.txt,Are child eating patterns being transformed globally?,10.1038/oby.2005.153
242.pdf,2003-01-01,242,242.txt,Estimating body fat from anthropometry and isotopic dilution: A four-country comparison,10.1038/oby.2003.207
244.pdf,1998-01-01,244,244.txt,Measurement error in dietary data: Implications for the epidemiologic study of the diet-disease relationship,10.1038/sj.ejcn.1600633
245.pdf,2003-01-01,245,245.txt,"Why do some overweight children remain overweight, whereas others do not?",10.1079/PHN2003470
246.pdf,2004-01-01,246,246.txt,Congruence of self-reported medications with pharmacy prescription records in low-income older adults,10.1093/geront/44.2.176
247.pdf,2001-01-01,247,247.txt,"Body mass index in mid-life women: Relative influence of menopause, hormone use, and ethnicity",10.1038/sj.ijo.0801618
248.pdf,2004-01-01,248,248.txt,Variations in health status within and between socioeconomic strata,10.1136/jech.2002.003251
250.pdf,2004-01-01,250,250.txt,Is there equity in the home health care market? Understanding racial patterns in the use of formal home health care,10.1093/geronb/59.4.S220
251.pdf,2006-01-01,251,251.txt,Gender Differentials in Cognitive Impairment and Decline of the Oldest Old in China,10.1093/geronb/61.2.S107
252.pdf,2006-01-01,252,252.txt,Exploring the stress-buffering effects of church-based social support and secular social support on self-rated health in late life,10.1093/geronb/61.1.S35
253.pdf,2005-01-01,253,253.txt,Widow(er) Poverty and Out-of-Pocket Medical Expenditures Near the End of Life,10.1093/geronb/60.3.S160
254.pdf,1999-01-01,254,254.txt,Dynamic paradigms for human mortality and aging,10.1093/gerona/54.6.B247
255.pdf,2004-01-01,255,255.txt,"Recreational injuries among older Americans, 2001",10.1136/ip.2004.005256
257.pdf,2006-01-01,257,257.txt,Association between obesity and psychiatric disorders in the US adult population,10.1001/archpsyc.63.7.824
258.pdf,2007-01-01,258,258.txt,Parental satisfaction with early pediatric care and immunization of young children,10.1001/archpedi.161.1.50
259.pdf,2006-01-01,259,259.txt,Healthy steps in an integrated delivery system: Child and parent outcomes at 30 months,10.1001/archpedi.160.8.793
260.pdf,2006-01-01,260,260.txt,A national 5-year follow-up of treatment outcomes for cocaine dependence,10.1001/archpsyc.59.6.538
261.pdf,2006-01-01,261,261.txt,Change in chronic disability from 1982 to 2004/2005 as measured by long-term changes in function and health in the U.S. elderly population,10.1073/pnas.0608483103
262.pdf,2007-01-01,262,262.txt,"Patterns and perceptions of wildlife crop raiding in and around Kerinci Seblat National Park, Sumatra",10.1111/j.1469-1795.2006.00083.x
263.pdf,2007-01-01,263,263.txt,"Baseline health, socioeconomic status, and 10-year mortality among older middle-aged Americans: Findings from the Health and Retirement Study, 1992-2002",10.1093/geronb/62.4.S209
264.pdf,2006-01-01,264,264.txt,Latent class logistic regression: Application to marijuana use and attitudes among high school seniors,10.1111/j.1467-985X.2006.00419.x
266.pdf,2007-01-01,266,266.txt,"Obesity, albuminuria and urinalysis findings in US young adults from the Add Health Wave III study",10.2215/CJN.00540107
267.pdf,2007-01-01,267,267.txt,"Body mass, DRD4, physical activity, sedentary behavior, and family socioeconomic status: The Add Health study",10.1038/oby.2007.640
268.pdf,2005-01-01,268,268.txt,The prevalence of trichomoniasis in young adults in the United States,10.1097/01.olq.0000179874.76360.ad
269.pdf,2007-01-01,269,269.txt,Extending the bereavement exclusion for major depression to other losses: Evidence from the National Comorbidity Survey,10.1001/archpsyc.64.4.433
271.pdf,2003-01-01,271,271.txt,Estimation of AIDS adult mortality by verbal autopsy in rural Malawi,10.1097/00002030-200311210-00014
272.pdf,2007-01-01,272,272.txt,Regional differences in mother-adult-child relations: A brief report,10.1093/geronb/62.6.S388
273.pdf,2005-01-01,273,273.txt,Moderating role of marital quality in older adults' depressed affect: beyond the main-effects model,10.1093/geronb/60.6.P338
274.pdf,2008-01-01,274,274.txt,Substance abuse by youth and young adults in rural America,10.1111/j.1748-0361.2008.00162.x
275.pdf,2007-01-01,275,275.txt,"Structural and functional aspects of social support for the elderly in the city of Sao Paulo, Brazil",10.1590/S0102-311X2007001200019
276.pdf,2005-01-01,276,276.txt,Prevalence and motives for illicit use of prescription stimulants in an undergraduate student sample,10.3200/JACH.53.6.253-262
277.pdf,2004-01-01,277,277.txt,The schooling of children of immigrants: Contextual effects on the educational attainment of the second generation,10.1073/pnas.0403418101
279.pdf,2006-01-01,279,279.txt,Boys with high body masses have an increased risk of developing asthma: Findings from the National Longitudinal Survey of Youth (NLSY),10.1038/sj.ijo.0803145
280.pdf,2007-01-01,280,280.txt,Genetic and environmental influences on the relationship between peer alcohol use and own alcohol use in adolescents,10.1111/j.1360-0443.2007.01824.x
281.pdf,2003-01-01,281,281.txt,A history of induced abortion in relation to substance abuse during subsequent pregnancies carried to term,10.1186/1477-7517-1-5
282.pdf,2008-01-01,282,282.txt,"Computational toxicology of chloroform: Reverse dosimetry using Bayesian inference, Markov chain Monte Carlo simulation, and human biomonitoring data",10.1289/ehp.11079
283.pdf,2006-01-01,283,283.txt,Caregivers of frail elders: Updating a national profile,10.1093/geront/46.3.344
284.pdf,2006-01-01,284,284.txt,The return on investment in health care: From 1980 to 2000,10.1111/j.1524-4733.2006.00095.x
285.pdf,2006-01-01,285,285.txt,Increasing rates of dementia at time of declining mortality from stroke,10.1161/01.STR.0000217971.88034.e9
286.pdf,2002-01-01,286,286.txt,Chronic disease mortality in a cohort of smokeless tobacco users,10.1093/aje/kwf106
288.pdf,2009-01-01,288,288.txt,Periodontitis is associated with cognitive impairment among older adults: Analysis of NHANES-III,10.1136/jnnp.2009.174029
289.pdf,2009-01-01,289,289.txt,Logistic regression with incomplete covariate data in complex survey sampling: Application of reweighted estimating equations,10.1097/EDE.0b013e318196cd65
290.pdf,2008-01-01,290,290.txt,Modest wine drinking and decreased prevalence of suspected nonalcoholic fatty liver disease,10.1002/hep.22292
291.pdf,2007-01-01,291,291.txt,Prospective study of serum vitamin D and cancer mortality in the United States,10.1093/jnci/djm204
292.pdf,2003-01-01,292,292.txt,Neuropsychiatric symptoms in Latino elders with dementia or cognitive impairment without dementia and factors that modify their association with caregiver depression,10.1093/geront/43.5.669
293.pdf,2007-01-01,293,293.txt,Risk factors for human herpesvirus 8 infection among adults in the United States and evidence for sexual transmission,10.1086/518791
294.pdf,2007-01-01,294,294.txt,Sun exposure and prostate cancer risk: Evidence for a protective effect of early-life exposure,10.1158/1055-9965.EPI-06-1053
295.pdf,2004-01-01,295,295.txt,Can dementia be prevented? Brain aging in a population-based context,10.1146/annurev.publhealth.25.101802.122951
296.pdf,2007-01-01,296,296.txt,Foetal nutritional status and cardiovascular risk profile among children,10.1017/S136898000768389X
297.pdf,2007-01-01,297,297.txt,Androgens and diabetes in men: Results from the Third National Health and Nutrition Examination Survey (NHANES III),10.2337/dc06-1579
298.pdf,2006-01-01,298,298.txt,Blood lead below 0.48 micromol/L (10 microg/dL) and mortality among US adults,10.1161/CIRCULATIONAHA.106.628321
300.pdf,2006-01-01,300,300.txt,Night eating: Prevalence and demographic correlates,10.1038/oby.2006.17
301.pdf,2006-01-01,301,301.txt,Health status of individuals with serious mental illness,10.1093/schbul/sbj048
302.pdf,2006-01-01,302,302.txt,Hypertenstion labelling was associated with poorer self-rated health in the Third US National Health and Nutrition Examination Survey,10.1038/sj.jhh.1001950
303.pdf,2005-01-01,303,303.txt,Ethnic variation in validity of classification of overweight and obesity using self-reported weight and height in American women and men: The Third National Health and Nutrition Examination Survey,10.1186/1475-2891-4-27
304.pdf,2006-01-01,304,304.txt,Tables for the selection of correct blood pressure cuff size based on self-reported height and weight and estimating equations for mid-arm circumference: data from the US National Health and Nutrition Examination Survey,10.1038/sj.jhh.1001919
305.pdf,2005-01-01,305,305.txt,The thyrotropin reference range should remain unchanged,10.1210/jc.2005-0170
307.pdf,2009-01-01,307,307.txt,The female-male disparity in obesity prevalence among black American young adults: Contributions of sociodemographic characteristics of the childhood family,10.3945/ajcn.2007.25751
308.pdf,2003-01-01,308,308.txt,"Social mobility from a kinship perspective: Rural Liaoning, 1789-1909",10.1017/S0020859002000901
309.pdf,2008-01-01,309,309.txt,Cohabitation and children's living arrangements: New estimates from the United States,10.4054/DemRes.2008.19.47
310.pdf,2004-01-01,310,310.txt,Dental caries of refugee children compared with US children,10.1542/peds.2004-0496
311.pdf,2004-01-01,311,311.txt,Prospective association between lung function and the incidence of diabetes: Findings from the National Health and Nutrition Examination Survey Epidemiologic Follow-up Study,10.2337/diacare.27.12.2966
312.pdf,2004-01-01,312,312.txt,Trends in the prevalence and ratio of diagnosed to undiagnosed diabetes according to obesity levels in the U.S.,10.2337/diacare.27.12.2806
313.pdf,2004-01-01,313,313.txt,Characteristics of hypertension in young adults with autosomal dominant polycystic kidney disease compared with the general U.S. population,10.1016/j.amjhyper.2004.06.020
314.pdf,2004-01-01,314,314.txt,"Racial difference in lung function in African-American and White children: Effect of anthropometric, socioeconomic, nutritional, and environmental factors",10.1093/aje/kwh297
315.pdf,2004-01-01,315,315.txt,"Bone density-related predictors of blood lead level among peri- and postmenopausal women in the United States: The Third National Health and Nutrition Examination Survey, 1988-1994",10.1093/aje/kwh296
316.pdf,2004-01-01,316,316.txt,Increasing prevalence of the metabolic syndrome among U.S. Adults,10.2337/diacare.27.10.2444
317.pdf,2004-01-01,317,317.txt,"Associations between differential leucocyte count and incident coronary heart disease: 1764 incident cases from seven prospective studies of 30,374 individuals",10.1016/j.ehj.2004.05.002
318.pdf,2009-01-01,318,318.txt,Total and unopposed estrogen exposure across stages of the transition to menopause,10.1158/1055-9965.EPI-08-0996
320.pdf,2004-01-01,320,320.txt,Elevated serum transferrin saturation and mortality,10.1370/afm.25
321.pdf,2003-01-01,321,321.txt,"C-reactive protein concentration and concentrations of blood vitamins, carotenoids, and selenium among United States adults",10.1038/sj.ejcn.1601667
322.pdf,2002-01-01,322,322.txt,"Abdominal obesity and ethnic differences in diabetes awareness, treatment, and glycemic control",10.1038/oby.2002.169
324.pdf,2009-01-01,324,324.txt,Rapidity and modality of imaging for acute low back pain in elderly patients,10.1001/archinternmed.2009.78
325.pdf,2009-01-01,325,325.txt,Pap testing and sexual activity among young women in the United States,10.1097/AOG.0b013e3181be3db4
326.pdf,2002-01-01,326,326.txt,Association between chronic obstructive pulmonary disease and employment by industry and occupation in the US population: A study of data from the Third National Health and Nutrition Examination Survey,10.1093/aje/kwf105
327.pdf,2009-01-01,327,327.txt,"Perceived complexity of care, perceived autonomy, and career satisfaction among primary care physicians",10.3122/jabfm.2009.01.080027
328.pdf,2009-01-01,328,328.txt,Physician career satisfaction within specialties,10.1186/1472-6963-9-166
329.pdf,2010-01-01,329,329.txt,Measurement of the local food environment: A comparison of existing data sources,10.1093/aje/kwp419
330.pdf,2002-01-01,330,330.txt,Dietary intake of folate and risk of stroke in US men and women: NHANES I Epidemiologic Follow-up Study,10.1161/01.STR.0000014607.90464.88
331.pdf,2001-01-01,331,331.txt,elation of body mass index to asthma and atopy in children: The National Health and Nutrition Examination Study III,10.1136/thorax.56.11.835
332.pdf,2001-01-01,332,332.txt,Smoking and weight loss attempts in overweight and normal-weight adolescents,10.1038/sj.ijo.0801683
333.pdf,2001-01-01,333,333.txt,"Rubella seropositivity in the United States, 1988-1994",10.1086/322651
334.pdf,2010-01-01,334,334.txt,General deterrence and international conflict: Testing perfect deterrence theory,10.1080/03050620903554069
338.pdf,2010-01-01,338,338.txt,Trends and correlates in meat consumption patterns in the US adult population,10.1017/S1368980010000224
340.pdf,2010-01-01,340,340.txt,Metabolic syndrome and weight gain in adulthood,10.1093/gerona/glp177
341.pdf,2010-01-01,341,341.txt,Categorizing US State Drinking Practices and Consumption Trends,10.3390/ijerph7010269
342.pdf,2009-01-01,342,342.txt,Association of A1C and fasting plasma glucose levels with diabetic retinopathy prevalence in the U.S. population: Implications for diabetes diagnostic thresholds,10.2337/dc09-0440
344.pdf,2010-01-01,344,344.txt,"Sex, health, and years of sexually active life gained due to good health: Evidence from two US population based cross sectional surveys of ageing",10.1136/bmj.c810
345.pdf,2010-01-01,345,345.txt,Food group intake and central obesity among children and adolescents in the Third National Health and Nutrition Examination Survey (NHANES III),10.1017/S1368980009991546
347.pdf,2009-01-01,347,347.txt,"Assessment of smoking behaviors and alcohol use in the National Social Life, Health, and Aging Project",10.1093/geronb/gbn017
348.pdf,2009-01-01,348,348.txt,"Instrument development, study design implementation, and survey conduct for the National Social Life, Health, and Aging Project",10.1093/geronb/gbn013
349.pdf,2010-01-01,349,349.txt,Weight of the obesity epidemic. Rising stroke rates among middle-aged women in the United States,10.1161/STROKEAHA.109.577510
350.pdf,2009-01-01,350,350.txt,"Rejoinder: Arsenic exposure and prevalence of type 2 diabetes: updated findings from the National Health Nutrition and Examination Survey, 2003-2006",10.1097/EDE.0b013e3181afef88
351.pdf,2008-01-01,351,351.txt,"Perceived interpersonal mistreatment among obese Americans: Do race, class, and gender matter?",10.1038/oby.2008.520
352.pdf,1997-01-01,352,352.txt,Heritability for Alzheimer's disease: The Study of dementia in Swedish twins,10.1093/gerona/52A.2.M117
353.pdf,2007-01-01,353,353.txt,Alcohol and hepatitis C mortality among males and females in the United States: A life table analysis,10.1111/j.1530-0277.2006.00304.x
354.pdf,2009-01-01,354,354.txt,Overweight in midlife and risk of dementia: A 40-year follow-up study,10.1038/ijo.2009.104
355.pdf,2001-01-01,355,355.txt,Effects of HIV infection on age and cause of death for persons with hemophilia A in the United States,10.1002/ajh.1050
356.pdf,2001-01-01,356,356.txt,"Bronchiolitis-associated mortality and estimates of respiratory syncytial virus-associated deaths among US children, 1979-1997",10.1086/317655
357.pdf,2000-01-01,357,357.txt,Mortality caused by sepsis in patients with end-stage renal disease compared with the general population,10.1111/j.1523-1755.2000.00337.x
358.pdf,2008-01-01,358,358.txt,Decreasing listeriosis mortality in the United States,10.1086/591131
359.pdf,2009-01-01,359,359.txt,Preservation of beta-cell function in autoantibody-positive youth with diabetes.,10.2337/dc08-2326
360.pdf,2009-01-01,360,360.txt,Data advisory with regard to NHANES serum 25-hydroxyvitamin D data,10.3945/ajcn.2009.28175
362.pdf,2007-01-01,362,362.txt,"Increase in Clostridium difficile-related mortality rates, United States, 1999-2004",10.3201/eid1309.061116
363.pdf,2001-01-01,363,363.txt,"Cancer statistics, 2001",10.3322/canjclin.51.1.15
364.pdf,1997-01-01,364,364.txt,A method for timely assessment of influenza-associated mortality in the United States,10.1097/00001648-199707000-00007
365.pdf,2010-01-01,365,365.txt,Association between vitamin B12-containing supplement consumption and prevalence of biochemically defined B12 deficiency in adults in NHANES III (Third National Health and Nutrition Examination Survey),10.1017/S1368980009990279
366.pdf,2009-01-01,366,366.txt,Accelerometer-determined steps per day in US adults,10.1249/MSS.0b013e318199885c
367.pdf,2000-01-01,367,367.txt,Injury death excesses in smokers: A 1990-95 United States national cohort study,10.1136/ip.6.4.277
368.pdf,2009-01-01,368,368.txt,"Bisphenol A data in NHANES suggest longer than expected half-life, substantial nonfood exposure, or both",10.1289/ehp.0800376
370.pdf,1996-01-01,370,370.txt,The epidemiology of rotavirus diarrhea in the United States: Surveillance and estimates of disease burden,10.1093/infdis/174.Supplement_1.S5
372.pdf,2009-01-01,372,372.txt,"Tracking population health based on self-reported impairments: Trends in the prevalence of hearing loss in US adults, 1976-2006",10.1093/aje/kwp097
373.pdf,2009-01-01,373,373.txt,Disparities in health care utilization by smoking status--NHANES 1999-2004,10.3390/ijerph6031095
374.pdf,2009-01-01,374,374.txt,Relationship between insulin resistance-associated metabolic parameters and anthropometric measurements with sugar-sweetened beverage intake and physical activity levels in US adolescents,10.1001/archpediatrics.2009.21
375.pdf,2009-01-01,375,375.txt,"Exposure of U.S. children to residential dust lead, 1999-2004: I. Housing and demographic factors",10.1289/ehp.11917
376.pdf,2009-01-01,376,376.txt,Effect of population trends in body mass index on prostate cancer incidence and mortality in the United States,10.1158/1055-9965.EPI-08-0784
377.pdf,2009-01-01,377,377.txt,Obesity and smoking: Comparing cessation treatment seekers with the general smoking population,10.1038/oby.2009.36
378.pdf,2010-01-01,378,378.txt,"Prevalence of coronary heart disease risk factors and screening for high cholesterol levels among young adults, United States, 1999-2006",10.1370/afm.1137
379.pdf,2010-01-01,379,379.txt,"Seroprevalence of antibody to mumps virus in the US population, 1999-2004",10.1086/655394
381.pdf,1999-01-01,381,381.txt,Genetic and environmental influences on waist-to-hip ratio and waist circumference in an older Swedish twin population,10.1038/sj.ijo.0800840
